Time,Obstacle_X,Obstacle_Y,Obstacle_Theta
0.064,0.75,-0.25,3.142
0.128,0.749,-0.25,3.141
0.192,0.747,-0.25,-3.141
0.256,0.746,-0.25,3.141
0.32,0.745,-0.25,-3.141
0.384,0.743,-0.25,3.141
0.448,0.742,-0.25,-3.141
0.512,0.741,-0.25,3.141
0.5760000000000001,0.739,-0.25,-3.141
0.64,0.738,-0.25,3.141
0.704,0.736,-0.25,-3.142
0.768,0.735,-0.25,-3.141
0.8320000000000001,0.734,-0.25,3.142
0.896,0.732,-0.25,3.141
0.96,0.731,-0.25,-3.141
1.024,0.729,-0.25,3.141
1.088,0.728,-0.25,-3.141
1.1520000000000001,0.726,-0.25,3.141
1.216,0.725,-0.25,-3.142
1.28,0.723,-0.25,-3.141
1.344,0.722,-0.25,3.141
1.408,0.72,-0.25,-3.141
1.472,0.719,-0.25,3.142
1.536,0.717,-0.25,3.141
1.6,0.716,-0.25,-3.141
1.6640000000000001,0.714,-0.25,3.141
1.728,0.713,-0.25,-3.141
1.792,0.711,-0.25,3.141
1.856,0.71,-0.25,-3.141
1.92,0.708,-0.25,3.141
1.984,0.706,-0.25,-3.141
2.048,0.705,-0.25,3.141
2.112,0.703,-0.25,-3.142
2.176,0.702,-0.25,-3.141
2.24,0.7,-0.25,3.142
2.3040000000000003,0.698,-0.25,3.141
2.368,0.697,-0.25,-3.141
2.432,0.695,-0.25,3.141
2.496,0.693,-0.25,-3.141
2.56,0.692,-0.25,3.141
2.624,0.69,-0.25,-3.142
2.688,0.688,-0.25,-3.141
2.7520000000000002,0.686,-0.25,3.141
2.816,0.685,-0.25,-3.141
2.88,0.683,-0.25,3.142
2.944,0.681,-0.25,3.141
3.008,0.679,-0.25,-3.141
3.072,0.678,-0.25,3.141
3.136,0.676,-0.25,-3.141
3.2,0.674,-0.25,3.141
3.2640000000000002,0.672,-0.25,-3.141
3.3280000000000003,0.67,-0.25,3.141
3.392,0.669,-0.25,-3.141
3.456,0.667,-0.25,3.141
3.52,0.665,-0.25,-3.142
3.584,0.663,-0.25,-3.141
3.648,0.661,-0.25,3.142
3.712,0.659,-0.25,3.141
3.7760000000000002,0.658,-0.25,-3.141
3.84,0.656,-0.25,3.141
3.904,0.654,-0.25,-3.141
3.968,0.652,-0.25,3.141
4.032,0.65,-0.25,-3.142
4.096,0.648,-0.25,-3.141
4.16,0.646,-0.25,3.141
4.224,0.644,-0.25,-3.141
4.288,0.642,-0.25,3.142
4.352,0.64,-0.25,3.141
4.416,0.638,-0.25,-3.141
4.48,0.636,-0.25,3.141
4.5440000000000005,0.634,-0.25,-3.141
4.6080000000000005,0.632,-0.25,3.141
4.672,0.63,-0.25,-3.141
4.736,0.628,-0.25,3.141
4.8,0.626,-0.25,-3.141
4.864,0.624,-0.25,3.141
4.928,0.622,-0.25,-3.142
4.992,0.62,-0.25,-3.141
5.056,0.618,-0.25,3.142
5.12,0.616,-0.25,3.141
5.184,0.614,-0.25,-3.141
5.248,0.612,-0.25,3.141
5.312,0.61,-0.25,-3.141
5.376,0.608,-0.25,3.141
5.44,0.606,-0.25,-3.142
5.5040000000000004,0.604,-0.25,-3.141
5.5680000000000005,0.601,-0.25,3.141
5.632,0.599,-0.25,-3.141
5.696,0.597,-0.25,3.142
5.76,0.595,-0.25,3.141
5.824,0.593,-0.25,-3.141
5.888,0.591,-0.25,3.141
5.952,0.589,-0.25,-3.141
6.016,0.586,-0.25,3.141
6.08,0.584,-0.25,-3.141
6.144,0.582,-0.25,3.141
6.208,0.58,-0.25,-3.141
6.272,0.578,-0.25,3.141
6.336,0.575,-0.25,-3.142
6.4,0.573,-0.25,-3.141
6.464,0.571,-0.25,3.142
6.5280000000000005,0.569,-0.25,3.141
6.5920000000000005,0.566,-0.25,-3.141
6.656000000000001,0.564,-0.25,3.141
6.72,0.562,-0.25,-3.141
6.784,0.56,-0.25,3.141
6.848,0.557,-0.25,-3.142
6.912,0.555,-0.25,-3.141
6.976,0.553,-0.25,3.141
7.04,0.551,-0.25,-3.141
7.104,0.548,-0.25,3.142
7.168,0.546,-0.25,3.141
7.232,0.544,-0.25,-3.141
7.296,0.541,-0.25,3.141
7.36,0.539,-0.25,-3.141
7.424,0.537,-0.25,3.141
7.488,0.534,-0.25,-3.141
7.5520000000000005,0.532,-0.25,3.141
7.6160000000000005,0.53,-0.25,-3.141
7.68,0.527,-0.25,3.141
7.744,0.525,-0.25,-3.142
7.808,0.522,-0.25,-3.141
7.872,0.52,-0.25,3.142
7.936,0.518,-0.25,3.141
8.0,0.515,-0.25,-3.141
8.064,0.513,-0.25,3.141
8.128,0.51,-0.25,-3.141
8.192,0.508,-0.25,3.141
8.256,0.506,-0.25,-3.142
8.32,0.503,-0.25,-3.141
8.384,0.501,-0.25,3.141
8.448,0.498,-0.25,-3.141
8.512,0.496,-0.25,3.142
8.576,0.493,-0.25,3.141
8.64,0.491,-0.25,-3.141
8.704,0.488,-0.25,3.141
8.768,0.486,-0.25,-3.141
8.832,0.483,-0.25,3.141
8.896,0.481,-0.25,-3.141
8.96,0.478,-0.25,3.141
9.024000000000001,0.476,-0.25,-3.141
9.088000000000001,0.473,-0.25,3.141
9.152000000000001,0.471,-0.25,-3.142
9.216000000000001,0.468,-0.25,-3.141
9.28,0.466,-0.25,3.142
9.344,0.463,-0.25,3.141
9.408,0.461,-0.25,-3.141
9.472,0.458,-0.25,3.141
9.536,0.456,-0.25,-3.141
9.6,0.453,-0.25,3.141
9.664,0.45,-0.25,-3.142
9.728,0.448,-0.25,-3.141
9.792,0.445,-0.25,3.141
9.856,0.443,-0.25,-3.141
9.92,0.44,-0.25,3.142
9.984,0.438,-0.25,3.141
10.048,0.435,-0.25,-3.141
10.112,0.432,-0.25,3.141
10.176,0.43,-0.25,-3.141
10.24,0.427,-0.25,3.141
10.304,0.425,-0.25,-3.141
10.368,0.422,-0.25,3.141
10.432,0.419,-0.25,-3.141
10.496,0.417,-0.25,3.141
10.56,0.414,-0.25,-3.142
10.624,0.411,-0.25,-3.141
10.688,0.409,-0.25,3.142
10.752,0.406,-0.25,3.141
10.816,0.403,-0.25,-3.141
10.88,0.401,-0.25,3.141
10.944,0.398,-0.25,-3.141
11.008000000000001,0.395,-0.25,3.141
11.072000000000001,0.393,-0.25,-3.142
